Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,date
Woodbury,Iowa,US,42.38979414,-96.0459439,1,0,0,0,"Woodbury, Iowa, US",03/22/2020
Scott,Iowa,US,41.63935978,-90.61959493,1,0,0,0,"Scott, Iowa, US",03/22/2020
Story,Iowa,US,42.03621213,-93.46499005,1,0,0,0,"Story, Iowa, US",03/22/2020
Henry,Iowa,US,40.98767962,-91.54436349,1,0,0,0,"Henry, Iowa, US",03/22/2020
Fayette,Iowa,US,42.86271799,-91.84412309999999,1,0,0,0,"Fayette, Iowa, US",03/22/2020
Winneshiek,Iowa,US,43.29094334,-91.84422722,1,0,0,0,"Winneshiek, Iowa, US",03/22/2020
Adair,Iowa,US,41.33075609,-94.47105874,1,0,0,0,"Adair, Iowa, US",03/22/2020
Carroll,Iowa,US,42.03617207,-94.86032705,1,0,0,0,"Carroll, Iowa, US",03/22/2020
Cerro Gordo,Iowa,US,43.08177563,-93.2612239,2,0,0,0,"Cerro Gordo, Iowa, US",03/22/2020
Muscatine,Iowa,US,41.48370744,-91.11216970000001,2,0,0,0,"Muscatine, Iowa, US",03/22/2020
Pottawattamie,Iowa,US,41.33640314,-95.53907776,2,0,0,0,"Pottawattamie, Iowa, US",03/22/2020
Tama,Iowa,US,42.07991767,-92.53266945,3,0,0,0,"Tama, Iowa, US",03/22/2020
Androscoggin,Maine,US,44.1664747,-70.20380627,3,0,0,0,"Androscoggin, Maine, US",03/22/2020
Sarpy,Nebraska,US,41.11314181,-96.11156432,5,0,0,0,"Sarpy, Nebraska, US",03/22/2020
Sagadahoc,Maine,US,43.95415864,-69.85074999,3,0,0,0,"Sagadahoc, Maine, US",03/22/2020
Providence,Rhode Island,US,41.87064746,-71.57753536,37,0,0,0,"Providence, Rhode Island, US",03/22/2020
Canadian,Oklahoma,US,35.5426055,-97.98465569,2,0,0,0,"Canadian, Oklahoma, US",03/22/2020
Payne,Oklahoma,US,36.07695283,-96.97584944,2,0,0,0,"Payne, Oklahoma, US",03/22/2020
Pawnee,Oklahoma,US,36.31743373,-96.70331759999999,3,1,0,0,"Pawnee, Oklahoma, US",03/22/2020
Kay,Oklahoma,US,36.81799745,-97.14421435,4,0,0,0,"Kay, Oklahoma, US",03/22/2020
Tulsa,Oklahoma,US,36.11939621,-95.94013939,6,1,0,0,"Tulsa, Oklahoma, US",03/22/2020
Cleveland,Oklahoma,US,35.20413532,-97.32519562,13,0,0,0,"Cleveland, Oklahoma, US",03/22/2020
Oklahoma,Oklahoma,US,35.55140095,-97.40716948,26,0,0,0,"Oklahoma, Oklahoma, US",03/22/2020
Sullivan,New Hampshire,US,43.36094111,-72.22203125,1,0,0,0,"Sullivan, New Hampshire, US",03/22/2020
Nashua,New Hampshire,US,,,1,0,0,0,"Nashua, New Hampshire, US",03/22/2020
Cheshire,New Hampshire,US,42.92015988,-72.25311043,1,0,0,0,"Cheshire, New Hampshire, US",03/22/2020
